Date,Total,Wind,Solar,WindAndSolar
2006-01-01,1069.184,0.0,0.0,0.0
2006-01-02,1380.521,0.0,0.0,0.0
2006-01-03,1442.533,0.0,0.0,0.0
2006-01-04,1457.217,0.0,0.0,0.0
2006-01-05,1477.131,0.0,0.0,0.0
2006-01-06,1403.427,0.0,0.0,0.0
2006-01-07,1300.287,0.0,0.0,0.0
2006-01-08,1207.985,0.0,0.0,0.0
2006-01-09,1529.323,0.0,0.0,0.0
2006-01-10,1576.911,0.0,0.0,0.0
2006-01-11,1577.176,0.0,0.0,0.0
2006-01-12,1553.28,0.0,0.0,0.0
2006-01-13,1545.002,0.0,0.0,0.0
2006-01-14,1359.945,0.0,0.0,0.0
2006-01-15,1265.475,0.0,0.0,0.0
2006-01-16,1563.738,0.0,0.0,0.0
2006-01-17,1598.303,0.0,0.0,0.0
2006-01-18,1572.984,0.0,0.0,0.0
2006-01-19,1558.29,0.0,0.0,0.0
2006-01-20,1540.604,0.0,0.0,0.0
2006-01-21,1348.188,0.0,0.0,0.0
2006-01-22,1248.111,0.0,0.0,0.0
2006-01-23,1569.691,0.0,0.0,0.0
2006-01-24,1603.252,0.0,0.0,0.0
2006-01-25,1613.312,0.0,0.0,0.0
2006-01-26,1601.673,0.0,0.0,0.0
2006-01-27,1586.065,0.0,0.0,0.0
2006-01-28,1373.03,0.0,0.0,0.0
2006-01-29,1252.215,0.0,0.0,0.0
2006-01-30,1554.722,0.0,0.0,0.0
2006-01-31,1575.129,0.0,0.0,0.0
2006-02-01,1582.134,0.0,0.0,0.0
2006-02-02,1595.717,0.0,0.0,0.0
2006-02-03,1577.786,0.0,0.0,0.0
2006-02-04,1366.322,0.0,0.0,0.0
2006-02-05,1258.013,0.0,0.0,0.0
2006-02-06,1557.525,0.0,0.0,0.0
2006-02-07,1606.667,0.0,0.0,0.0
2006-02-08,1590.896,0.0,0.0,0.0
2006-02-09,1599.129,0.0,0.0,0.0
2006-02-10,1554.631,0.0,0.0,0.0
2006-02-11,1346.104,0.0,0.0,0.0
2006-02-12,1232.568,0.0,0.0,0.0
2006-02-13,1521.456,0.0,0.0,0.0
2006-02-14,1551.373,0.0,0.0,0.0
2006-02-15,1562.656,0.0,0.0,0.0
2006-02-16,1523.719,0.0,0.0,0.0
2006-02-17,1495.913,0.0,0.0,0.0
